Model Params: 30.03M
Trainable Params: 30.025M
Epoch:[1/1](2020/5000), loss: 4.8851, logits_loss: 4.8851, aux_loss: 0.0000, lr: 0.00013673, epoch_time: 115.0min
Epoch:[1/1](2040/5000), loss: 4.9106, logits_loss: 4.9106, aux_loss: 0.0000, lr: 0.00013565, epoch_time: 113.0min
Epoch:[1/1](2060/5000), loss: 4.8467, logits_loss: 4.8467, aux_loss: 0.0000, lr: 0.00013457, epoch_time: 112.0min
Epoch:[1/1](2080/5000), loss: 5.0278, logits_loss: 5.0278, aux_loss: 0.0000, lr: 0.00013348, epoch_time: 110.0min
Epoch:[1/1](2100/5000), loss: 4.4467, logits_loss: 4.4467, aux_loss: 0.0000, lr: 0.00013238, epoch_time: 109.0min
Epoch:[1/1](2120/5000), loss: 4.8345, logits_loss: 4.8345, aux_loss: 0.0000, lr: 0.00013128, epoch_time: 107.0min
Epoch:[1/1](2140/5000), loss: 4.9669, logits_loss: 4.9669, aux_loss: 0.0000, lr: 0.00013018, epoch_time: 106.0min
Epoch:[1/1](2160/5000), loss: 5.0296, logits_loss: 5.0296, aux_loss: 0.0000, lr: 0.00012908, epoch_time: 105.0min
Epoch:[1/1](2180/5000), loss: 4.1427, logits_loss: 4.1427, aux_loss: 0.0000, lr: 0.00012797, epoch_time: 103.0min
Epoch:[1/1](2200/5000), loss: 4.7001, logits_loss: 4.7001, aux_loss: 0.0000, lr: 0.00012686, epoch_time: 102.0min
Epoch:[1/1](2220/5000), loss: 4.8863, logits_loss: 4.8863, aux_loss: 0.0000, lr: 0.00012575, epoch_time: 101.0min
Epoch:[1/1](2240/5000), loss: 4.8930, logits_loss: 4.8930, aux_loss: 0.0000, lr: 0.00012464, epoch_time: 99.0min
Epoch:[1/1](2260/5000), loss: 4.8080, logits_loss: 4.8080, aux_loss: 0.0000, lr: 0.00012352, epoch_time: 98.0min
Epoch:[1/1](2280/5000), loss: 4.9767, logits_loss: 4.9767, aux_loss: 0.0000, lr: 0.00012240, epoch_time: 97.0min
Epoch:[1/1](2300/5000), loss: 4.9138, logits_loss: 4.9138, aux_loss: 0.0000, lr: 0.00012128, epoch_time: 96.0min
Epoch:[1/1](2320/5000), loss: 4.5256, logits_loss: 4.5256, aux_loss: 0.0000, lr: 0.00012016, epoch_time: 94.0min
Epoch:[1/1](2340/5000), loss: 4.8077, logits_loss: 4.8077, aux_loss: 0.0000, lr: 0.00011903, epoch_time: 93.0min
Epoch:[1/1](2360/5000), loss: 4.5194, logits_loss: 4.5194, aux_loss: 0.0000, lr: 0.00011791, epoch_time: 92.0min
Epoch:[1/1](2380/5000), loss: 4.7505, logits_loss: 4.7505, aux_loss: 0.0000, lr: 0.00011678, epoch_time: 91.0min
Epoch:[1/1](2400/5000), loss: 4.3270, logits_loss: 4.3270, aux_loss: 0.0000, lr: 0.00011565, epoch_time: 90.0min
Epoch:[1/1](2420/5000), loss: 4.3743, logits_loss: 4.3743, aux_loss: 0.0000, lr: 0.00011452, epoch_time: 88.0min
